leg_length_m,leg_com_from_wheel_m,leg_com_to_pivot_m,single_leg_inertia_kg_m2,total_leg_inertia_kg_m2,controllability_rank,max_closed_loop_real,a00,a01,a02,a03,a04,a05,a10,a11,a12,a13,a14,a15,a20,a21,a22,a23,a24,a25,a30,a31,a32,a33,a34,a35,a40,a41,a42,a43,a44,a45,a50,a51,a52,a53,a54,a55,b00,b01,b10,b11,b20,b21,b30,b31,b40,b41,b50,b51,k00,k01,k02,k03,k04,k05,k10,k11,k12,k13,k14,k15
0.15105,0.1058,0.045249999999999985,0.012552771,0.025105542,6,-1.7795138406024613,0.0,1.0,0.0,0.0,0.0,0.0,244.64852241142037,0.0,0.0,0.0,8.733854561328146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.095581094580004,0.0,0.0,0.0,1.7799630860091686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-32.858942816385465,0.0,0.0,0.0,-47.028601453152056,0.0,0.0,0.0,-60.36183024824835,17.224239683016666,0.0,0.0,-0.05959110074892847,0.11376977162202395,0.0,0.0,0.24187276354819354,11.71715854336967,-11.81324968710005,-0.6037961851727695,-3.8331728471541306,-2.542624209444944,8.606658658882663,0.7827453125512257,33.100736055545205,1.5061122664581335,24.867793537633744,15.119972532836409,114.16858027614008,3.1153777241664016
0.16618,0.11655,0.049629999999999994,0.012740925,0.02548185,6,-1.7834129802034637,0.0,1.0,0.0,0.0,0.0,0.0,241.96564272767665,0.0,0.0,0.0,8.62803600393155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.80051429616235,0.0,0.0,0.0,1.8047637257664841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-35.72017779007664,0.0,0.0,0.0,-47.12926412258546,0.0,0.0,0.0,-57.90602097245545,15.24283847637911,0.0,0.0,-0.16827385236841377,0.09820444939077708,0.0,0.0,0.6830023475607554,11.78033622353121,-12.237564770565163,-0.6239794890435363,-4.017184134687292,-2.6510101144251226,7.933102169980163,0.7137785436166941,30.876772637351642,1.411872845021065,23.059355968477437,14.009449923761924,118.00890214125361,3.415600995779042
0.18226,0.12826,0.05399999999999999,0.012943764,0.025887528,6,-1.786647462026911,0.0,1.0,0.0,0.0,0.0,0.0,237.66543705913784,0.0,0.0,0.0,8.449224872500702,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.457441495096628,0.0,0.0,0.0,1.8271748168428212,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-38.3865624525392,0.0,0.0,0.0,-47.220227915243015,0.0,0.0,0.0,-55.32246031886306,13.42091145984331,0.0,0.0,-0.2636297895508059,0.077867813039798,0.0,0.0,1.0700400722741572,11.862880066045717,-12.635029288024594,-0.6456283788879703,-4.180047288519874,-2.7487088725209983,7.251835578746537,0.6464880544291534,28.58999389584836,1.3215688624612116,21.251641817617234,12.911459198268423,121.42888417764601,3.674129687736823
0.19789,0.13968,0.05821000000000001,0.013147708,0.026295416,6,-1.7890608385291942,0.0,1.0,0.0,0.0,0.0,0.0,232.41159099509125,0.0,0.0,0.0,8.240135316247603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.019497110593074,0.0,0.0,0.0,1.8461945829891226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-40.66787532106084,0.0,0.0,0.0,-47.29742674765301,0.0,0.0,0.0,-52.85967733899381,11.887406173160183,0.0,0.0,-0.3410120738510037,0.05628633035966032,0.0,0.0,1.3841250064024537,11.950476582836123,-12.975346620829674,-0.6667519250137295,-4.310868772640932,-2.8289676680081706,6.632327488482052,0.5867689562079157,26.47994358537351,1.2424994479916993,19.621025088005666,11.929294003027602,124.18449605081202,3.8763001409183566
0.21303,0.1508,0.06223000000000001,0.013354099,0.026708198,6,-1.7908655417857766,0.0,1.0,0.0,0.0,0.0,0.0,226.68937448461173,0.0,0.0,0.0,8.016454411519653,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.498407337186165,0.0,0.0,0.0,1.862211014887702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-42.61171154059305,0.0,0.0,0.0,-47.36243542506964,0.0,0.0,0.0,-50.556586947611,10.595892500106856,0.0,0.0,-0.40354804096599134,0.03452383679125785,0.0,0.0,1.6379506111851085,12.038807799996658,-13.26795982004682,-0.6872089803254383,-4.415912077671041,-2.8950659630401274,6.077054439170134,0.5339921589951635,24.5629387627314,1.1733464747313314,18.16544057645677,11.05784243813725,126.39735160516233,4.034325505144586
0.22985,0.16322,0.06663,0.013594921,0.027189842,6,-1.7923819121925715,0.0,1.0,0.0,0.0,0.0,0.0,219.9190331907985,0.0,0.0,0.0,7.754904687643369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.963634640350415,0.0,0.0,0.0,1.8775597275740998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-44.5000104993336,0.0,0.0,0.0,-47.4247339144029,0.0,0.0,0.0,-48.11778959281643,9.353542869004816,0.0,0.0,-0.46099688266461325,0.010110954952030142,0.0,0.0,1.8711282153853108,12.137896608936565,-13.556781872379887,-0.7098567794555994,-4.5119168731459895,-2.9573420169731053,5.513309291419926,0.4808076613766634,22.590396635667435,1.1042449967715153,16.69000802244442,10.17869847809494,128.41569121596584,4.1745698705309024
0.24437,0.17409,0.07028000000000001,0.013813312,0.027626624,6,-1.7933711023825751,0.0,1.0,0.0,0.0,0.0,0.0,213.94920698060804,0.0,0.0,0.0,7.522366170586719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.31292045661339,0.0,0.0,0.0,1.888711706436598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-45.91771758287376,0.0,0.0,0.0,-47.46999839034985,0.0,0.0,0.0,-46.131642405547474,8.422634545595606,0.0,0.0,-0.5014656765231595,-0.010830867068745002,0.0,0.0,2.035385946573541,12.22289682377133,-13.780099325769251,-0.729294924026257,-4.580338049508356,-3.0032621158579937,5.071031231216841,0.4391721102033818,21.0222314387501,1.0504854521669449,15.531587205870762,9.490870906444819,129.8486415806228,4.271370450827904
0.25809,0.18433,0.07375999999999999,0.014029408,0.028058816,6,-1.7940568017225016,0.0,1.0,0.0,0.0,0.0,0.0,208.25165860884795,0.0,0.0,0.0,7.3051459975304205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.608089021634981,0.0,0.0,0.0,1.898147877504446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-47.11576956776862,0.0,0.0,0.0,-47.50829861882035,0.0,0.0,0.0,-44.3468357438158,7.644304766989896,0.0,0.0,-0.5341010657177558,-0.030092944534490667,0.0,0.0,2.1678488760170675,12.301079167271723,-13.972323252059555,-0.7475550879090636,-4.634876102405417,-3.0411841233616927,4.688349034974048,0.403108983085304,19.650960831356574,1.0041508402369625,14.52843456539893,8.89683542782471,130.98639154150936,4.346247740403205
0.27062,0.19383,0.07679000000000002,0.014235062,0.028470124,6,-1.794530384414629,0.0,1.0,0.0,0.0,0.0,0.0,203.12437252289428,0.0,0.0,0.0,7.106715344242607,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.84681878061027,0.0,0.0,0.0,1.9054388926609338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-48.08474355581132,0.0,0.0,0.0,-47.537891929949154,0.0,0.0,0.0,-42.80751518380107,7.011120630037048,0.0,0.0,-0.5588401595976463,-0.04728223838497976,0.0,0.0,2.268261738494938,12.370848343454199,-14.134083848486314,-0.7641178210484225,-4.677452367350033,-3.071857255793464,4.367581427144204,0.3727800548945401,18.48905504813261,0.9652925224861854,13.685260723503823,8.398429427783617,131.87020261699794,4.402847055357547
0.28166,0.2021,0.07956000000000002,0.014423079,0.028846158,6,-1.794810038600437,0.0,1.0,0.0,0.0,0.0,0.0,198.6284840470082,0.0,0.0,0.0,6.937940456579389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.041008921814862,0.0,0.0,0.0,1.9115372710264216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-48.872936851734124,0.0,0.0,0.0,-47.56264447873385,0.0,0.0,0.0,-41.50725896580594,6.504713192792335,0.0,0.0,-0.5783797237468955,-0.06187105575663751,0.0,0.0,2.3475703654528166,12.430062513527169,-14.267097803847346,-0.7786254202164197,-4.710134561786341,-3.09627214560324,4.105426602380853,0.34788661535464266,17.532123428658945,0.9335208689778848,12.995304713315127,7.991284359894492,132.54595402703055,4.445066715492342
